actor_id,text,index_text,is_gt,manual_label_full,manual_label,topic,gpt_label,gpt_stance,gpt_topic
user_11,"RT @kaitlancollins: Biden says he doesn’t personally care if Trump comes to his inauguration, but he should to showcase a peaceful transfer…",biden care doesn inauguration peaceful personally rt showcase transfer trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_12,"RT @ConcedingTrump: Patriots! We need 2,000 quick replies commenting #PerdueSaysBidenWon so we can it trending and shame David Perdue for s…",000 commenting david patriots perdue perduesaysbidenwon quick replies rt shame trending,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_13,RT @Rosenchild: @bopinion 🎁 Marry Christmas and Happy #COVID19  💸 $900 BILLION Stimulus 🚫 NO Stimulus Checks in the NEW Stimulus Bill  Sinc…,900 bill billion checks christmas covid19 happy marry rt sinc stimulus stimulus stimulus,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_10,"RT @maddow: DC Attorney General:   ""Our investigation revealed the [Trump Inaugural] Committee willfully used nonprofit funds to enrich the…",attorney committee dc enrich funds general inaugural investigation nonprofit our revealed rt the trump willfully,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_14,"RT @gregHog1: @AndrewDesiderio @anitakumar01 It just shows Trump, his family &amp; associates is a big crime syndicate. And remember, GOP remai…",amp associates big crime family gop remai remember rt shows syndicate trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_15,RT @theangiestanton: Who else is happy that the Democrats are caught RED handed trying to steal the 2020 Presidential election 🙋🏽‍♀️,2020 caught democrats election handed happy presidential red rt steal 🙋🏽‍♀️,1,opposing-Election_Legitimacy,opposing,Election_Legitimacy,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_2,"RT @HuffPost: The fundraising figure underscores Trump's fierce grip on the Republican Party, even after his loss to Joe Biden. https://t.c…",biden fierce figure fundraising grip joe loss party republican rt trump underscores,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_16,"RT @ReallyAmerican1: #PerdueSaysTrumpWon, and has betrayed MAGA. Help us blanket Trump counties in Georgia with these billboards.https://t.…",betrayed billboards blanket counties georgia https maga perduesaystrumpwon rt trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_17,RT @TheDemCoalition: The hilarious viral video showed the @GOP Governor @DougDucey silencing a phone call from @realDonaldTrump as he certi…,call certi governor hilarious phone rt showed silencing video viral,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_18,RT @gDesFaits: ÇA AVANCE : Le gouverneur Brian Kemp appelle à un « audit de signature » après une nouvelle vidéo de surveillance diffusée a…,appelle après audit avance brian de de diffusée gouverneur kemp le nouvelle rt signature surveillance une vidéo ça,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_19,RT @theangiestanton: Who else is happy that the Democrats are caught RED handed trying to steal the 2020 Presidential election 🙋🏽‍♀️,2020 caught democrats election handed happy presidential red rt steal 🙋🏽‍♀️,1,opposing-Election_Legitimacy,opposing,Election_Legitimacy,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_17,RT @Baligubadle1: David Perdue says Joe Biden is the President- elect.   #PerdueSaysBidenWon,biden david elect joe perdue perduesaysbidenwon president rt,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_20,"RT @Redistrict: BREAKING: Biden's national popular vote lead just surpassed 7 million (4.5%)...  Biden 81,264,673 (51.3%) Trump 74,210,838…",210 264 51 673 74 81 838 biden biden breaking lead million national popular rt surpassed trump vote,1,supportive-Election_Legitimacy,supportive,Election_Legitimacy,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_21,RT @tedlieu: One of two things is going to happen. Congress will override Trump’s veto. Or we wait until January and reintroduce the same N…,congress happen january override reintroduce rt things trump veto wait,1,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_22,"RT @Teri_Kanefield: Roger Stone is suggesting the same thing. As a practical matter, it can't happen. Trump would need the armed forces (wo…",armed forces happen matter practical roger rt stone suggesting thing trump wo,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_23,"RT @TheLastWord: .@BhadeliaMD, an infectious diseases physician, tells @Lawrence that it's a “good move” to increase public trust for Presi…",@bhadeliamd diseases good increase infectious move physician presi public rt tells trust,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_22,RT @Teri_Kanefield: It's also not possible because the Constitution gives Congress the authority to determine the date of the presidential…,authority congress constitution date determine presidential rt,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_24,"RT @NetworksManager: We’re not going to take communism shutting down our businesses, locking us in our home and stealing the presidential e…",businesses communism home locking presidential re rt shutting stealing we,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_25,RT @corybernardi: There has never been a US Presidential election as crooked as this one. The evidence of wrongdoing continues to mount and…,and continues crooked election evidence mount one presidential rt wrongdoing,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_26,"RT @AnaCabrera: JUST IN: In a 4-3 decision, the Wisconsin Supreme Court decided it will not hear a lawsuit filed by Trump seeking to remove…",court decided decision filed hear in lawsuit remove rt seeking supreme trump wisconsin,1,supportive-Election_Legitimacy,supportive,Election_Legitimacy,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_27,RT @ReallyAmerican1: David #PerdueSaysBidenWon and has betrayed president Trump. Please don’t retweet this and use the hashtag #PerdueSaysB…,betrayed david don hashtag perduesaysb perduesaysbidenwon president retweet rt trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_28,"RT @kaitlancollins: Biden says he doesn’t personally care if Trump comes to his inauguration, but he should to showcase a peaceful transfer…",biden care doesn inauguration peaceful personally rt showcase transfer trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_27,"RT @ReallyAmerican1: We need 2,000 quick retweets and REPLIES to help get #PerdueSaysBidenWon trending so Trump can see these Georgia Repub…",000 georgia perduesaysbidenwon quick replies repub retweets rt trending trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_29,RT @funder: I like presidents who don’t send people to spy on the DoJ for their campaign.,campaign doj don people presidents rt send spy,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_30,RT @EricBoehlert: asking this question during Trump’s final full month in office is chef kiss emoji,chef emoji final full kiss month office question rt trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_26,"RT @mmpadellan: Did David Perdue turn his back on trump? YES HE DID, because we all know #PerdueSaysBidenWon.  We're going to blanket Georg…",back blanket david did georg perdue perduesaysbidenwon rt trump turn,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_11,RT @donwinslow: Trump is worried that he may be prosecuted in New York after he leaves office https://t.co/6dtHSXtHeJ via @Yahoo,leaves office prosecuted rt trump worried york,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_31,RT @ReallyAmerican1: #PerdueSaysBidenWon and betrayed President Trump. Help us blanket Trump counties in Georgia with these billboards by c…,betrayed billboards blanket counties georgia perduesaysbidenwon president rt trump trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_32,RT @joshscampbell: President-elect Joe Biden tells @jaketapper his administration will not make national policy by tweets.,administration biden elect joe make national policy president rt tells tweets,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_33,RT @ReallyAmerican1: The President should immediately cancel his trip to Georgia after RINO David Perdue embarrassed him and said that ther…,cancel david embarrassed georgia immediately perdue president rino rt ther trip,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_34,RT @HaleighHoffman: The last 75 tweets from Pres. Trump have been about himself or election fraud. (That’s in just the past two days)  None…,75 days election fraud none past pres rt that trump tweets,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_35,RT @thehill: Wisconsin Supreme Court turns away Trump election lawsuit https://t.co/8QvcqPgZbN https://t.co/ti9c4qJUWM,court election lawsuit rt supreme trump turns wisconsin,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_36,"RT @JoshShapiroPA: The election is over. Results have been certified.  Trump lost nationwide by 7 million votes. He lost PA by 83,000 votes…",000 83 certified election lost lost million nationwide over pa results rt trump votes votes,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_37,"RT @JoeBiden: On this International Day of People with Disabilities and every day of the Biden-Harris administration, we'll be fully commit…",administration biden commit day day disabilities fully harris international people rt,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_37,"RT @kylegriffin1: Biden on CNN: ""There's not a single decision I've made yet about personnel or how to proceed that I haven't discussed wit…",biden cnn decision discussed made personnel proceed rt single there wit,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_30,"RT @kylegriffin1: A former U.S. attorney has asked the Georgia State Election Board to investigate U.S. Sen. Lindsey Graham, saying he pres…",asked attorney board election georgia graham investigate lindsey pres rt sen state,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_38,RT @KikiAdine: Do you remember how before the election trump was all concerned about Hunter Biden and his terrible corruption but now he's…,biden concerned corruption election he hunter remember rt terrible trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_17,"RT @TheLastWord: .@tribelaw tells @Lawrence that if Trump tried to pardon himself, his argument would not hold up in court because it goes…",@tribelaw argument court goes himself hold pardon rt tells trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_39,"RT @Redistrict: BREAKING: Biden's national popular vote lead just surpassed 7 million (4.5%)...  Biden 81,264,673 (51.3%) Trump 74,210,838…",210 264 51 673 74 81 838 biden biden breaking lead million national popular rt surpassed trump vote,1,supportive-Election_Legitimacy,supportive,Election_Legitimacy,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_32,"RT @kylegriffin1: A former U.S. attorney has asked the Georgia State Election Board to investigate U.S. Sen. Lindsey Graham, saying he pres…",asked attorney board election georgia graham investigate lindsey pres rt sen state,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_38,RT @donwinslow: The Trump Administration Withheld Phone Numbers of Migrants Captured at the U.S. Border https://t.co/XKXQ68UwJ0 via @Yahoo,administration border captured migrants numbers phone rt trump withheld,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_40,RT @Scaramucci: So AG Bill Barr is now in cahoots with Hugo Chavez to prevent Trump from winning the election? Hard to keep up with this st…,ag barr bill cahoots chavez election hard hugo prevent rt st trump winning,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_25,"RT @realDonaldTrump: The “Republican” Governor of Georgia, @BrianKempGA, and the Secretary of State, MUST immediately allow a signature ver…",georgia governor immediately republican rt secretary signature state ver,1,opposing-Election_Legitimacy,opposing,Election_Legitimacy,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_41,"RT @JoyAnnReid: Donald Trump, does not care, about the American people. https://t.co/bqSGJmAIil",american care donald people rt trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_42,"RT @JoeBiden: On this International Day of People with Disabilities and every day of the Biden-Harris administration, we'll be fully commit…",administration biden commit day day disabilities fully harris international people rt,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_41,RT @TheRealAndrew_: Breaking News: President Elect Biden has tapped Dr. Vivek Murthy as the new Surgeon General! https://t.co/nL3TcmJhhM,biden breaking dr elect general murthy news president rt surgeon tapped vivek,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_18,"RT @Fr_Conservateur: 🇺🇸 La #démocrature impose un contrôle absolu de l'information. Ainsi, aucun média dominant et contrôlé ne signale que…",absolu ainsi aucun contrôle contrôlé de dominant démocrature impose information la média ne que rt signale 🇺🇸,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_43,"RT @bluestein: A former U.S. attorney has asked the Georgia State Election Board to investigate U.S. Sen. Lindsey Graham, saying he pressed…",asked attorney board election georgia graham investigate lindsey pressed rt sen state,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_44,RT @grantstern: The only reason Trump wants to erase Section 230 of the CDA is so he can sue @Twitter when they delete his account after he…,230 account cda delete erase he reason rt section sue trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_38,"RT @ResisterForever: Politico reported that sources said Trump phoned Lin Wood and told him to knock it off.   That same day, Wood tweeted…",day knock lin off phoned politico reported rt sources told trump tweeted wood wood,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_45,RT @atrupar: The conspiracy theorizing has reached a level of incoherency where Trump is insinuating his staunch Republican supporters cons…,cons conspiracy incoherency insinuating level reached republican rt staunch supporters theorizing trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_46,"RT @PalmerReport: Donald Trump's idiot supporters have now given $200 million to his election defense fund, nearly all of which has gone in…",200 defense donald election fund idiot in million rt supporters trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_46,"RT @PalmerReport: I told you that if we ran up the score for Biden, then Trump’s efforts at screwing with the result would go nowhere. Sure…",biden efforts nowhere ran result rt score screwing sure told trump,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_47,"RT @AnaCabrera: JUST IN: In a 4-3 decision, the Wisconsin Supreme Court decided it will not hear a lawsuit filed by Trump seeking to remove…",court decided decision filed hear in lawsuit remove rt seeking supreme trump wisconsin,1,supportive-Election_Legitimacy,supportive,Election_Legitimacy,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_48,"RT @realDonaldTrump: The “Republican” Governor of Georgia, @BrianKempGA, and the Secretary of State, MUST immediately allow a signature ver…",georgia governor immediately republican rt secretary signature state ver,1,opposing-Election_Legitimacy,opposing,Election_Legitimacy,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_49,"RT @travisakers: NEW: Trump campaign’s star witness, Mellissa Carone, was on probation for a year for committing a computer crime court rec…",campaign carone committing computer court crime mellissa new probation rec rt star trump witness year,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_50,RT @DavidJHarrisJr: @RudyGiuliani They’ve been caught red handed! Lock them all up and declare  @realDonaldTrump the winner of the presiden…,caught declare handed lock presiden red rt they ve winner,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_50,RT @Raiklin: If I were a Georgian:  1.  Audit the Nov 3 election to clean up all the corruption and fraud in the Presidential and the two U…,audit clean corruption election fraud georgian nov presidential rt,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_51,RT @Scaramucci: So AG Bill Barr is now in cahoots with Hugo Chavez to prevent Trump from winning the election? Hard to keep up with this st…,ag barr bill cahoots chavez election hard hugo prevent rt st trump winning,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_51,"RT @AnaCabrera: JUST IN: In a 4-3 decision, the Wisconsin Supreme Court decided it will not hear a lawsuit filed by Trump seeking to remove…",court decided decision filed hear in lawsuit remove rt seeking supreme trump wisconsin,1,supportive-Election_Legitimacy,supportive,Election_Legitimacy,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_46,"RT @AnaCabrera: JUST IN: In a 4-3 decision, the Wisconsin Supreme Court decided it will not hear a lawsuit filed by Trump seeking to remove…",court decided decision filed hear in lawsuit remove rt seeking supreme trump wisconsin,1,supportive-Election_Legitimacy,supportive,Election_Legitimacy,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_52,"RT @Randbreloaded: Join us for a delightful inaugural dinner event celebrating this historic election victory. A lively, glamorous and styl…",celebrating delightful dinner election event glamorous historic inaugural join lively rt styl victory,1,supportive-Election_Legitimacy,supportive,Election_Legitimacy,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_53,"RT @fedtanyl: It was shameful for Trump to refer to Covid as the “China virus”, knowing full well it originated from Hunter Biden’s laptop",biden china covid full hunter knowing laptop originated refer rt shameful trump virus,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_54,"@FLSenate @WiltonSimpson Another 2 records set yesterday, 2,918 deaths in 1 day, &amp; more than 100,000 people hospita… https://t.co/nU8IRAnsMD",000 100 918 amp day deaths hospita people records set yesterday,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_55,"RT @gritslady: “Ignore the president,” Rachel Maddow implored Americans. https://t.co/Hx4dNwfFnD via @HuffPostPol",americans ignore implored maddow president rachel rt,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_53,RT @realTuckFrumper: Trump Is Making Election Fraud Infomercials As An American Dies Of COVID Every 30 Seconds https://t.co/SEhLbPoiPW,30 american covid dies election fraud infomercials making rt seconds trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_45,RT @VapidOne: #PerdueSaysBidenWon. Trump equals LOSER.,equals loser perduesaysbidenwon rt trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_56,"RT @RBReich: In 2020, Biden won the popular vote by 7 million votes.  In 2016, Trump lost the popular vote by 3 million votes.  Both won th…",2016 2020 biden lost million million popular popular rt th trump vote vote votes votes won won,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_45,RT @davidfrum: If you want to know why Trump was personally crushed under by 46% of the vote - 7 million vote margin - in an otherwise soli…,46 crushed margin million personally rt soli trump vote vote,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_57,"RT @realDonaldTrump: The “Republican” Governor of Georgia, @BrianKempGA, and the Secretary of State, MUST immediately allow a signature ver…",georgia governor immediately republican rt secretary signature state ver,1,opposing-Election_Legitimacy,opposing,Election_Legitimacy,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_45,"RT @MeidasTouch: Biden 81,264,673 (51.3%) Trump 74,210,838 (46.9%) https://t.co/xxW2MiY76B",210 264 46 51 673 74 81 838 biden rt trump,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_58,RT @tribelaw: This scheme to turn the Jan 6 Joint Session of Congress from a routine electoral vote-counting event into a coup to overturn…,congress counting coup electoral event jan joint overturn routine rt scheme session turn vote,1,supportive-Election_Legitimacy,supportive,Election_Legitimacy,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_59,RT @XiaosongWangUSA: 这世道公平吗？对邪恶之人来说是公平的，因为他们不承认法律天平，他们也没有道德底线；对善良的人来说绝对不公平，因为他们总是循规蹈矩不敢越雷池半步，他们也总是担心因为自己而伤及无辜。川普比窦娥还冤，比秦香莲还苦。有冤无处申，有苦无处诉。但川…,rt 他们也总是担心因为自己而伤及无辜 他们也没有道德底线；对善良的人来说绝对不公平 但川 因为他们不承认法律天平 因为他们总是循规蹈矩不敢越雷池半步 对邪恶之人来说是公平的 川普比窦娥还冤 有冤无处申 有苦无处诉 比秦香莲还苦 这世道公平吗,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_47,"RT @AlvarezHashi: Donald Trump Jr. wants to become head of the NRA – and fire Wayne LaPierre   And right after that, Eric is applying to be…",applying be donald eric fire head jr lapierre nra rt that trump wayne,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_60,RT @CelerySorbet: @penny_candy__ Jared was in charge of pardons since at least Feb  https://t.co/SY7YbLUPiX,charge feb jared pardons rt,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_55,RT @e_whittler: Donald J Trump lost the 2020 presidential election. He lost by the Electoral College 306 to 232. He lost by a whopping 7 mi…,2020 232 306 college donald election electoral lost lost lost mi presidential rt trump whopping,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_61,"RT @CNN: ""Just 100 days to mask, not forever. 100 days. And I think we'll see a significant reduction,"" said President-elect Biden https://…",100 100 biden days days elect forever just mask president reduction rt significant,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_55,RT @murray_nyc: @realDonaldTrump GREAT OUTCOME!  Biden 306 Trump 232,232 306 biden great outcome rt trump,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_61,RT @TimAlberta: 9 of 10 Trump voters I’ve talked to believe mass voter fraud occurred.  8 of those 9 cite the protracted counting and Biden…,10 biden cite counting fraud mass occurred protracted rt talked trump ve voter voters,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_62,"RT @cnni: ""Just 100 days to mask, not forever. 100 days. And I think we'll see a significant reduction,"" said President-elect Biden https:/…",100 100 biden days days elect forever just mask president reduction rt significant,0,,,,supportive-Candidate_Advocacy,supportive,Candidate_Advocacy
user_63,RT @theangiestanton: Who else is happy that the Democrats are caught RED handed trying to steal the 2020 Presidential election 🙋🏽‍♀️,2020 caught democrats election handed happy presidential red rt steal 🙋🏽‍♀️,1,opposing-Election_Legitimacy,opposing,Election_Legitimacy,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_55,RT @MattNegrin: WASHINGTON (AP) — America’s ruling party condemns democratic process for 26th straight day after opposition leader won pres…,26th america ap condemns day democratic leader opposition party pres process rt ruling straight washington won,1,opposing-Election_Legitimacy,opposing,Election_Legitimacy,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_64,RT @itsJeffTiedrich: remember when we said that we all had to vote for Biden in numbers so great that Trump couldn't steal the election? th…,biden election great numbers remember rt steal th trump vote,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_65,RT @JohnFetterman: “ (the Court) .. to *wipe out* the election results and direct the state’s Republican-controlled Legislature to pick Pen…,controlled court direct election legislature out pen pick republican results rt state the wipe,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_66,"RT @thewebbix: Take note, it’s been 231 years since our first presidential election. We’ve never had a problem with integrity due to voter…",231 due election integrity it note presidential problem rt ve voter we years,0,,,,supportive-Election_Legitimacy,supportive,Election_Legitimacy
user_67,"RT @TeaPainUSA: Do you know what’s terrifyin’?  If Trump had been able to win over just 5% more of America, our Democracy would be gone and…",america and democracy rt terrifyin trump what win,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_68,"RT @mmpadellan: Georgia trump supporters won't be too happy when they find out that #PerdueSaysBidenWon.  So, whatever you do, don't retwee…",do find georgia happy perduesaysbidenwon retwee rt so supporters trump,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_69,RT @MTM91324: President-Elect Biden says he wants us all to wear masks for the first 100 days of his administration. If the current POtuS h…,100 administration biden current days elect masks potus president rt wear,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_70,RT @NadlerJanet: Please call the US Supreme court at202-479-3011 choose option (5) for clerks office. Leave message that you wish for the s…,3011 479 at202 call choose clerks court leave message office option rt supreme,1,neutral-Election_Legitimacy,neutral,Election_Legitimacy,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_71,RT @ConcedingTrump: Wow! #PerdueSaysBidenWon! Total betrayal! https://t.co/AV2aLYBb81,betrayal perduesaysbidenwon rt total wow,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_72,"RT @TheDemCoalition: Mellissa Carone, a Trump campaign witness, delivered testimony that drew comparisons to SNL characters. Giuliani also…",also campaign carone characters comparisons delivered drew giuliani mellissa rt snl testimony trump witness,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_73,"RT @SethAbramson: (PS4) Whether there is any sufficient legal—criminal or civil—mechanism to pursue the matter is unclear, but as a matter…",civil criminal legal matter matter mechanism ps4 pursue rt sufficient unclear,0,,,,opposing-Election_Legitimacy,opposing,Election_Legitimacy
user_74,"RT @Judson4Congress: Trump* doubles down on his Defense Bill Veto threat to destroy Section 230 and with it, free speech.  Had Trump* and t…",230 bill defense destroy doubles free it rt section speech threat trump trump veto,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_75,RT @tedlieu: One of two things is going to happen. Congress will override Trump’s veto. Or we wait until January and reintroduce the same N…,congress happen january override reintroduce rt things trump veto wait,1,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_76,RT @lindyli: Just a friendly reminder that Trump is threatening to veto the MILITARY BUDGET because of mean hashtags like #DiaperDon and be…,be budget diaperdon friendly hashtags military reminder rt threatening trump veto,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
user_77,"RT @11thHour: Pardons or no pardons, the Trump family could face a slew of legal issues after life in the White House. @peterbakernyt joins…",face family house issues joins legal life pardons pardons rt slew trump white,0,,,,opposing-Candidate_Advocacy,opposing,Candidate_Advocacy
